timestamp,bridge_id,span_id,sensor_id,sensor_type,value,unit,traffic_load_proxy,rule_threshold,anomaly,anomaly_type
2025-10-10T12:00:00,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,118.571847,microstrain,0.5,200.0,0,
2025-10-10T12:00:00,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,128.986727,microstrain,0.5,200.0,0,
2025-10-10T12:00:00,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.020849,g,0.5,0.05,0,
2025-10-10T12:00:00,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.015481,g,0.5,0.05,0,
2025-10-10T12:00:00,BRIDGE_A01,SPAN_2,TMP_201,temperature,21.88428,C,0.5,35.0,0,
2025-10-10T12:00:00.100000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,132.278127,microstrain,0.503,200.0,0,
2025-10-10T12:00:00.100000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,111.887548,microstrain,0.503,200.0,0,
2025-10-10T12:00:00.100000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.018739,g,0.503,0.05,0,
2025-10-10T12:00:00.100000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.023824,g,0.503,0.05,0,
2025-10-10T12:00:00.100000,BRIDGE_A01,SPAN_2,TMP_201,temperature,21.826652,C,0.503,35.0,0,
2025-10-10T12:00:00.200000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,120.647456,microstrain,0.505,200.0,0,
2025-10-10T12:00:00.200000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,123.568342,microstrain,0.505,200.0,0,
2025-10-10T12:00:00.200000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.024527,g,0.505,0.05,0,
2025-10-10T12:00:00.200000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.018136,g,0.505,0.05,0,
2025-10-10T12:00:00.200000,BRIDGE_A01,SPAN_2,TMP_201,temperature,21.911204,C,0.505,35.0,0,
2025-10-10T12:00:00.300000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,121.891073,microstrain,0.508,200.0,0,
2025-10-10T12:00:00.300000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,135.09248,microstrain,0.508,200.0,0,
2025-10-10T12:00:00.300000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.026639,g,0.508,0.05,0,
2025-10-10T12:00:00.300000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.023091,g,0.508,0.05,0,
2025-10-10T12:00:00.300000,BRIDGE_A01,SPAN_2,TMP_201,temperature,22.077237,C,0.508,35.0,0,
2025-10-10T12:00:00.400000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,127.770613,microstrain,0.51,200.0,0,
2025-10-10T12:00:00.400000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,131.53743,microstrain,0.51,200.0,0,
2025-10-10T12:00:00.400000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.017297,g,0.51,0.05,0,
2025-10-10T12:00:00.400000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.023632,g,0.51,0.05,0,
2025-10-10T12:00:00.400000,BRIDGE_A01,SPAN_2,TMP_201,temperature,21.749224,C,0.51,35.0,0,
2025-10-10T12:00:00.500000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,120.91595,microstrain,0.513,200.0,0,
2025-10-10T12:00:00.500000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,128.640234,microstrain,0.513,200.0,0,
2025-10-10T12:00:00.500000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.015845,g,0.513,0.05,0,
2025-10-10T12:00:00.500000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.019711,g,0.513,0.05,0,
2025-10-10T12:00:00.500000,BRIDGE_A01,SPAN_2,TMP_201,temperature,21.827649,C,0.513,35.0,0,
2025-10-10T12:00:00.600000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,122.847546,microstrain,0.516,200.0,0,
2025-10-10T12:00:00.600000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,110.132698,microstrain,0.516,200.0,0,
2025-10-10T12:00:00.600000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.014842,g,0.516,0.05,0,
2025-10-10T12:00:00.600000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.018057,g,0.516,0.05,0,
2025-10-10T12:00:00.600000,BRIDGE_A01,SPAN_2,TMP_201,temperature,22.185492,C,0.516,35.0,0,
2025-10-10T12:00:00.700000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,123.278396,microstrain,0.518,200.0,0,
2025-10-10T12:00:00.700000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,124.160804,microstrain,0.518,200.0,0,
2025-10-10T12:00:00.700000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.022248,g,0.518,0.05,0,
2025-10-10T12:00:00.700000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.017545,g,0.518,0.05,0,
2025-10-10T12:00:00.700000,BRIDGE_A01,SPAN_2,TMP_201,temperature,22.056725,C,0.518,35.0,0,
2025-10-10T12:00:00.800000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,120.14067,microstrain,0.521,200.0,0,
2025-10-10T12:00:00.800000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,115.529155,microstrain,0.521,200.0,0,
2025-10-10T12:00:00.800000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.019037,g,0.521,0.05,0,
2025-10-10T12:00:00.800000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.021931,g,0.521,0.05,0,
2025-10-10T12:00:00.800000,BRIDGE_A01,SPAN_2,TMP_201,temperature,22.067718,C,0.521,35.0,0,
2025-10-10T12:00:00.900000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,124.129273,microstrain,0.524,200.0,0,
2025-10-10T12:00:00.900000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,136.150252,microstrain,0.524,200.0,0,
2025-10-10T12:00:00.900000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.021474,g,0.524,0.05,0,
2025-10-10T12:00:00.900000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.023172,g,0.524,0.05,0,
2025-10-10T12:00:00.900000,BRIDGE_A01,SPAN_2,TMP_201,temperature,22.447629,C,0.524,35.0,0,
2025-10-10T12:00:01,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,117.738917,microstrain,0.526,200.0,0,
2025-10-10T12:00:01,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,119.015403,microstrain,0.526,200.0,0,
2025-10-10T12:00:01,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.025493,g,0.526,0.05,0,
2025-10-10T12:00:01,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.017867,g,0.526,0.05,0,
2025-10-10T12:00:01,BRIDGE_A01,SPAN_2,TMP_201,temperature,22.005937,C,0.526,35.0,0,
2025-10-10T12:00:01.100000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,129.576836,microstrain,0.529,200.0,0,
2025-10-10T12:00:01.100000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,128.683788,microstrain,0.529,200.0,0,
2025-10-10T12:00:01.100000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.025552,g,0.529,0.05,0,
2025-10-10T12:00:01.100000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.024775,g,0.529,0.05,0,
2025-10-10T12:00:01.100000,BRIDGE_A01,SPAN_2,TMP_201,temperature,22.213879,C,0.529,35.0,0,
2025-10-10T12:00:01.200000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,120.387619,microstrain,0.531,200.0,0,
2025-10-10T12:00:01.200000,BRIDGE_A01,SPAN_2,SG_002,strain_gauge,128.225475,microstrain,0.531,200.0,0,
2025-10-10T12:00:01.200000,BRIDGE_A01,SPAN_1,ACC_101,accelerometer_rms,0.021257,g,0.531,0.05,0,
2025-10-10T12:00:01.200000,BRIDGE_A01,SPAN_2,ACC_102,accelerometer_rms,0.016335,g,0.531,0.05,0,
2025-10-10T12:00:01.200000,BRIDGE_A01,SPAN_2,TMP_201,temperature,22.28346,C,0.531,35.0,0,
2025-10-10T12:00:01.300000,BRIDGE_A01,SPAN_1,SG_001,strain_gauge,128.308244,microstrain,0.534,200.0,0,
