t_center,sensor_id,sensor_type,span_id,f_mean,f_slope,ctx_tl_mean,label_rule
2025-10-10 12:02:30,TMP_201,temperature,SPAN_2,22.002030828057315,2.8521973008731325e-06,0.5636467844051982,0
2025-10-10 12:05:00,TMP_201,temperature,SPAN_2,22.00501235054982,-1.8495333756188601e-06,0.5,0
2025-10-10 12:07:30,TMP_201,temperature,SPAN_2,22.00691519593469,2.8890662952478137e-06,0.4363532155948018,0
2025-10-10 12:10:00,TMP_201,temperature,SPAN_2,22.00153802632456,-6.600098404239255e-06,0.5,0
2025-10-10 12:12:30,TMP_201,temperature,SPAN_2,21.995519608130625,2.0010449091701503e-08,0.5636467844051982,0
2025-10-10 12:15:00,TMP_201,temperature,SPAN_2,21.99890250316561,5.285338289412463e-06,0.5,0
2025-10-10 12:17:30,TMP_201,temperature,SPAN_2,22.002093495834725,4.782002275941839e-06,0.4363532155948018,0
2025-10-10 12:20:00,TMP_201,temperature,SPAN_2,27.022253612462514,0.0050333074922935955,0.5,0
2025-10-10 12:22:30,TMP_201,temperature,SPAN_2,28.033390040653117,-0.0048087682012382775,0.5636467844051982,0
2025-10-10 12:25:00,TMP_201,temperature,SPAN_2,23.011999522825725,-0.0018277415723695018,0.5,0
