t_center,sensor_id,sensor_type,span_id,f_mean,f_slope,ctx_tl_mean,label_rule
2025-10-10 12:02:30,TMP_201,temperature,SPAN_2,-0.002005217859754388,0.14567025900185754,1.3333333333333317,0
2025-10-10 12:05:00,TMP_201,temperature,SPAN_2,0.001922658929228516,-0.33798591288578994,0.0,0
2025-10-10 12:07:30,TMP_201,temperature,SPAN_2,0.004429479601901734,0.14946288727164822,-1.3333333333333317,0
2025-10-10 12:10:00,TMP_201,temperature,SPAN_2,-0.0026544380123853266,-0.8266655617507828,0.0,0
2025-10-10 12:12:30,TMP_201,temperature,SPAN_2,-0.010583140609726623,-0.14567025900185754,1.3333333333333317,0
2025-10-10 12:15:00,TMP_201,temperature,SPAN_2,-0.006126493067778523,0.39596185100301484,0.0,0
2025-10-10 12:17:30,TMP_201,temperature,SPAN_2,-0.0019226589292331963,0.3441848381967378,-1.3333333333333317,0
2025-10-10 12:20:00,TMP_201,temperature,SPAN_2,6.611668366680065,517.6169841717375,0.0,0
2025-10-10 12:22:30,TMP_201,temperature,SPAN_2,7.943745960181219,-494.8146034481868,1.3333333333333317,0
2025-10-10 12:25:00,TMP_201,temperature,SPAN_2,1.3285339961670595,-188.16328145252845,0.0,0
